[1] Train loss: 1.326, Train acc: 0.431
[1] Validation loss: 0.844, Validation acc: 0.679
[2] Train loss: 0.390, Train acc: 0.862
[2] Validation loss: 0.358, Validation acc: 0.864
[3] Train loss: 0.118, Train acc: 0.964
[3] Validation loss: 0.193, Validation acc: 0.934
[4] Train loss: 0.040, Train acc: 0.991
[4] Validation loss: 0.110, Validation acc: 0.961
[5] Train loss: 0.013, Train acc: 0.997
[5] Validation loss: 0.086, Validation acc: 0.969
[6] Train loss: 0.003, Train acc: 1.000
[6] Validation loss: 0.074, Validation acc: 0.973
[7] Train loss: 0.002, Train acc: 1.000
[7] Validation loss: 0.068, Validation acc: 0.975
[8] Train loss: 0.001, Train acc: 1.000
[8] Validation loss: 0.064, Validation acc: 0.977
[9] Train loss: 0.001, Train acc: 1.000
[9] Validation loss: 0.061, Validation acc: 0.978
[10] Train loss: 0.001, Train acc: 1.000
[10] Validation loss: 0.059, Validation acc: 0.979
[11] Train loss: 0.001, Train acc: 1.000
[11] Validation loss: 0.056, Validation acc: 0.980
[12] Train loss: 0.001, Train acc: 1.000
[12] Validation loss: 0.056, Validation acc: 0.980
[13] Train loss: 0.001, Train acc: 1.000
[13] Validation loss: 0.053, Validation acc: 0.981
[14] Train loss: 0.001, Train acc: 1.000
[14] Validation loss: 0.052, Validation acc: 0.982
[15] Train loss: 0.001, Train acc: 1.000
[15] Validation loss: 0.051, Validation acc: 0.982
[16] Train loss: 0.001, Train acc: 1.000
[16] Validation loss: 0.050, Validation acc: 0.983
[17] Train loss: 0.001, Train acc: 1.000
[17] Validation loss: 0.048, Validation acc: 0.984
[18] Train loss: 0.000, Train acc: 1.000
[18] Validation loss: 0.048, Validation acc: 0.984
[19] Train loss: 0.000, Train acc: 1.000
[19] Validation loss: 0.047, Validation acc: 0.984
[20] Train loss: 0.000, Train acc: 1.000
[20] Validation loss: 0.048, Validation acc: 0.984
[21] Train loss: 0.000, Train acc: 1.000
[21] Validation loss: 0.045, Validation acc: 0.985
[22] Train loss: 0.000, Train acc: 1.000
[22] Validation loss: 0.044, Validation acc: 0.985
[23] Train loss: 0.000, Train acc: 1.000
[23] Validation loss: 0.044, Validation acc: 0.985
[24] Train loss: 0.000, Train acc: 1.000
[24] Validation loss: 0.043, Validation acc: 0.985
[25] Train loss: 0.000, Train acc: 1.000
[25] Validation loss: 0.043, Validation acc: 0.985
[26] Train loss: 0.000, Train acc: 1.000
[26] Validation loss: 0.043, Validation acc: 0.986
[27] Train loss: 0.000, Train acc: 1.000
[27] Validation loss: 0.042, Validation acc: 0.986
[28] Train loss: 0.000, Train acc: 1.000
[28] Validation loss: 0.041, Validation acc: 0.986
[29] Train loss: 0.000, Train acc: 1.000
[29] Validation loss: 0.041, Validation acc: 0.986
[30] Train loss: 0.000, Train acc: 1.000
[30] Validation loss: 0.040, Validation acc: 0.986
[31] Train loss: 0.000, Train acc: 1.000
[31] Validation loss: 0.040, Validation acc: 0.986
[32] Train loss: 0.000, Train acc: 1.000
[32] Validation loss: 0.042, Validation acc: 0.986
[33] Train loss: 0.000, Train acc: 1.000
[33] Validation loss: 0.040, Validation acc: 0.986
[34] Train loss: 0.000, Train acc: 1.000
[34] Validation loss: 0.040, Validation acc: 0.986
[35] Train loss: 0.000, Train acc: 1.000
[35] Validation loss: 0.039, Validation acc: 0.986
[36] Train loss: 0.000, Train acc: 1.000
[36] Validation loss: 0.038, Validation acc: 0.986
[37] Train loss: 0.000, Train acc: 1.000
[37] Validation loss: 0.038, Validation acc: 0.987
[38] Train loss: 0.000, Train acc: 1.000
[38] Validation loss: 0.038, Validation acc: 0.987
[39] Train loss: 0.000, Train acc: 1.000
[39] Validation loss: 0.037, Validation acc: 0.987
[40] Train loss: 0.000, Train acc: 1.000
[40] Validation loss: 0.037, Validation acc: 0.987
[41] Train loss: 0.000, Train acc: 1.000
[41] Validation loss: 0.037, Validation acc: 0.987
[42] Train loss: 0.000, Train acc: 1.000
[42] Validation loss: 0.037, Validation acc: 0.987
[43] Train loss: 0.000, Train acc: 1.000
[43] Validation loss: 0.036, Validation acc: 0.987
[44] Train loss: 0.000, Train acc: 1.000
[44] Validation loss: 0.036, Validation acc: 0.987
[45] Train loss: 0.000, Train acc: 1.000
[45] Validation loss: 0.036, Validation acc: 0.987
[46] Train loss: 0.000, Train acc: 1.000
[46] Validation loss: 0.036, Validation acc: 0.987
[47] Train loss: 0.000, Train acc: 1.000
[47] Validation loss: 0.036, Validation acc: 0.988
[48] Train loss: 0.000, Train acc: 1.000
[48] Validation loss: 0.035, Validation acc: 0.988
[49] Train loss: 0.000, Train acc: 1.000
[49] Validation loss: 0.038, Validation acc: 0.988
[50] Train loss: 0.000, Train acc: 1.000
[50] Validation loss: 0.035, Validation acc: 0.988
[51] Train loss: 0.000, Train acc: 1.000
[51] Validation loss: 0.035, Validation acc: 0.988
[52] Train loss: 0.000, Train acc: 1.000
[52] Validation loss: 0.034, Validation acc: 0.988
[53] Train loss: 0.000, Train acc: 1.000
[53] Validation loss: 0.034, Validation acc: 0.988
[54] Train loss: 0.000, Train acc: 1.000
[54] Validation loss: 0.034, Validation acc: 0.988
[55] Train loss: 0.000, Train acc: 1.000
[55] Validation loss: 0.034, Validation acc: 0.988
[56] Train loss: 0.000, Train acc: 1.000
[56] Validation loss: 0.033, Validation acc: 0.988
[57] Train loss: 0.000, Train acc: 1.000
[57] Validation loss: 0.033, Validation acc: 0.988
[58] Train loss: 0.000, Train acc: 1.000
[58] Validation loss: 0.034, Validation acc: 0.988
[59] Train loss: 0.000, Train acc: 1.000
[59] Validation loss: 0.033, Validation acc: 0.988
[60] Train loss: 0.000, Train acc: 1.000
[60] Validation loss: 0.033, Validation acc: 0.988
[61] Train loss: 0.000, Train acc: 1.000
[61] Validation loss: 0.033, Validation acc: 0.988
[62] Train loss: 0.000, Train acc: 1.000
[62] Validation loss: 0.033, Validation acc: 0.988
[63] Train loss: 0.000, Train acc: 1.000
[63] Validation loss: 0.032, Validation acc: 0.988
[64] Train loss: 0.000, Train acc: 1.000
[64] Validation loss: 0.032, Validation acc: 0.988
[65] Train loss: 0.000, Train acc: 1.000
[65] Validation loss: 0.033, Validation acc: 0.988
[66] Train loss: 0.000, Train acc: 1.000
[66] Validation loss: 0.032, Validation acc: 0.988
[67] Train loss: 0.000, Train acc: 1.000
[67] Validation loss: 0.032, Validation acc: 0.988
[68] Train loss: 0.000, Train acc: 1.000
[68] Validation loss: 0.032, Validation acc: 0.988
[69] Train loss: 0.000, Train acc: 1.000
[69] Validation loss: 0.032, Validation acc: 0.989
[70] Train loss: 0.000, Train acc: 1.000
[70] Validation loss: 0.031, Validation acc: 0.989
[71] Train loss: 0.000, Train acc: 1.000
[71] Validation loss: 0.031, Validation acc: 0.989
[72] Train loss: 0.000, Train acc: 1.000
[72] Validation loss: 0.031, Validation acc: 0.989
[73] Train loss: 0.000, Train acc: 1.000
[73] Validation loss: 0.031, Validation acc: 0.989
[74] Train loss: 0.000, Train acc: 1.000
[74] Validation loss: 0.031, Validation acc: 0.989
[75] Train loss: 0.000, Train acc: 1.000
[75] Validation loss: 0.031, Validation acc: 0.989
[76] Train loss: 0.000, Train acc: 1.000
[76] Validation loss: 0.031, Validation acc: 0.989
[77] Train loss: 0.000, Train acc: 1.000
[77] Validation loss: 0.031, Validation acc: 0.989
[78] Train loss: 0.000, Train acc: 1.000
[78] Validation loss: 0.030, Validation acc: 0.989
[79] Train loss: 0.000, Train acc: 1.000
[79] Validation loss: 0.030, Validation acc: 0.989
[80] Train loss: 0.000, Train acc: 1.000
[80] Validation loss: 0.030, Validation acc: 0.989
[81] Train loss: 0.000, Train acc: 1.000
[81] Validation loss: 0.030, Validation acc: 0.989
[82] Train loss: 0.000, Train acc: 1.000
[82] Validation loss: 0.030, Validation acc: 0.989
[83] Train loss: 0.000, Train acc: 1.000
[83] Validation loss: 0.030, Validation acc: 0.989
[84] Train loss: 0.000, Train acc: 1.000
[84] Validation loss: 0.030, Validation acc: 0.989
[85] Train loss: 0.000, Train acc: 1.000
[85] Validation loss: 0.030, Validation acc: 0.989
[86] Train loss: 0.000, Train acc: 1.000
[86] Validation loss: 0.030, Validation acc: 0.989
[87] Train loss: 0.000, Train acc: 1.000
[87] Validation loss: 0.030, Validation acc: 0.989
[88] Train loss: 0.000, Train acc: 1.000
[88] Validation loss: 0.029, Validation acc: 0.989
[89] Train loss: 0.000, Train acc: 1.000
[89] Validation loss: 0.029, Validation acc: 0.989
[90] Train loss: 0.000, Train acc: 1.000
[90] Validation loss: 0.029, Validation acc: 0.989
[91] Train loss: 0.000, Train acc: 1.000
[91] Validation loss: 0.029, Validation acc: 0.989
[92] Train loss: 0.000, Train acc: 1.000
[92] Validation loss: 0.029, Validation acc: 0.989
[93] Train loss: 0.000, Train acc: 1.000
[93] Validation loss: 0.029, Validation acc: 0.989
[94] Train loss: 0.000, Train acc: 1.000
[94] Validation loss: 0.029, Validation acc: 0.989
[95] Train loss: 0.000, Train acc: 1.000
[95] Validation loss: 0.029, Validation acc: 0.989
[96] Train loss: 0.000, Train acc: 1.000
[96] Validation loss: 0.029, Validation acc: 0.989
[97] Train loss: 0.000, Train acc: 1.000
[97] Validation loss: 0.029, Validation acc: 0.990
[98] Train loss: 0.000, Train acc: 1.000
[98] Validation loss: 0.029, Validation acc: 0.990
[99] Train loss: 0.000, Train acc: 1.000
[99] Validation loss: 0.028, Validation acc: 0.990
[100] Train loss: 0.000, Train acc: 1.000
[100] Validation loss: 0.029, Validation acc: 0.990
[101] Train loss: 0.000, Train acc: 1.000
[101] Validation loss: 0.028, Validation acc: 0.990
[102] Train loss: 0.000, Train acc: 1.000
[102] Validation loss: 0.028, Validation acc: 0.990
[103] Train loss: 0.000, Train acc: 1.000
[103] Validation loss: 0.028, Validation acc: 0.990
[104] Train loss: 0.000, Train acc: 1.000
[104] Validation loss: 0.028, Validation acc: 0.990
[105] Train loss: 0.000, Train acc: 1.000
[105] Validation loss: 0.028, Validation acc: 0.990
[106] Train loss: 0.000, Train acc: 1.000
[106] Validation loss: 0.031, Validation acc: 0.990
[107] Train loss: 0.000, Train acc: 1.000
[107] Validation loss: 0.028, Validation acc: 0.990
[108] Train loss: 0.000, Train acc: 1.000
[108] Validation loss: 0.028, Validation acc: 0.990
